,Time,Open,High,Low,Close,Volume,Close time,Quota,Trade,buy_base,buy_quote,Ignore,TT,SMA200,SMA50,SMA5,10d_low,Buy,Sell,Buyprice,Sellprice,RSI,overbrough,oversell
272,1633392000000,49224.93000000,51886.30000000,49022.40000000,51471.99000000,52125.66793000,1633478399999,2618101829.01772260,1641651,26687.41046000,1341045872.99872880,0,2021-10-05,45003.65154999998,46796.69480000001,48934.68999999997,41026.54,0,1,50442.5502,51471.99000000,64.58035531246452,0,0
273,1633478400000,51471.99000000,55750.00000000,50382.41000000,55315.00000000,79877.54518100,1633564799999,4236927265.38152227,2443126,40664.02751700,2158326113.66324049,0,2021-10-06,44989.71514999999,47009.07580000001,50369.36799999997,41026.54,0,1,54208.7,55315.00000000,70.59341682778341,1,0
274,1633564800000,55315.00000000,55332.31000000,53357.00000000,53785.22000000,54917.37766000,1633651199999,2983143121.08864310,1703147,26485.89849000,1438826617.03898690,0,2021-10-07,44971.88344999999,47190.67440000001,51599.431999999964,41026.54,0,1,52709.5156,53785.22000000,65.80437774913565,0,0
275,1633651200000,53785.22000000,56100.00000000,53617.61000000,53951.43000000,46160.25785000,1633737599999,2522087625.09407934,1548832,22643.19334000,1237799956.86817420,0,2021-10-08,44971.22434999999,47334.49060000001,52749.71599999997,41524.28,0,1,52872.4014,53955.67000000,66.07367618753074,0,0
276,1633737600000,53955.67000000,55489.00000000,53661.67000000,54949.72000000,55177.08013000,1633823999999,3024862790.69559250,1609483,27686.74749000,1518044340.20896890,0,2021-10-09,44974.268499999984,47447.03560000002,53894.67199999996,43824.1,0,1,53850.7256,54949.72000000,67.71807445404619,0,0
277,1633824000000,54949.72000000,56561.31000000,54080.00000000,54659.00000000,89237.83612800,1633910399999,4923958325.38987614,2427176,44656.91574800,2464422246.84227902,0,2021-10-10,44986.04524999999,47563.778200000015,54532.073999999964,47634.9,0,1,53565.82,54659.01000000,66.70410323068518,0,0
278,1633910400000,54659.01000000,57839.04000000,54415.06000000,57471.35000000,52933.16575100,1633996799999,2994673617.72364832,1690409,26858.82901300,1519825843.11704945,0,2021-10-11,45016.93309999999,47728.42080000001,54963.34399999996,47634.9,0,1,56321.922999999995,57471.35000000,71.19710251567484,1,0
279,1633996800000,57471.35000000,57680.00000000,53879.00000000,55996.93000000,53471.28550000,1634083199999,3017210682.88594980,1554412,26157.44247000,1477084242.54916010,0,2021-10-12,45021.789799999984,47858.582400000014,55405.685999999965,48200.01,0,1,54876.9914,55996.91000000,66.15679947584987,0,0
280,1634083200000,55996.91000000,57777.00000000,54167.19000000,57367.00000000,55808.44492000,1634169599999,3123307687.47730310,1610489,27985.13207000,1566812325.67564000,0,2021-10-13,45029.53909999998,48052.44220000002,56088.79999999997,49224.94,0,1,56219.659999999996,57370.83000000,68.39575745014416,0,0
281,1634169600000,57370.83000000,58532.54000000,56818.05000000,57347.94000000,43053.33678100,1634255999999,2481915791.59123502,1372048,21940.26497900,1265138476.86559415,0,2021-10-14,45037.39064999998,48219.934600000015,56568.443999999974,51471.99,0,1,56200.9812,57347.94000000,68.32803412657032,0,0
282,1634256000000,57347.94000000,62933.00000000,56850.00000000,61672.42000000,82512.90802200,1634342399999,4959389368.72673282,2649137,43913.67633100,2638969873.66980311,0,2021-10-15,45057.57539999997,48516.50560000001,57971.12799999997,53785.22,0,1,60438.9716,61672.42000000,74.49795720864417,1,0
283,1634342400000,61672.42000000,62378.42000000,60150.00000000,60875.57000000,35467.88096000,1634428799999,2173374058.80891070,1360379,17286.46284000,1059536457.61601730,0,2021-10-16,45068.22039999997,48752.61900000001,58651.97199999997,53785.22,0,1,59658.0586,60875.57000000,71.72524904306741,1,0
284,1634428800000,60875.57000000,61718.39000000,58963.00000000,61528.33000000,39099.24124000,1634515199999,2371696294.79730550,1331655,19289.94298000,1170524004.76929440,0,2021-10-17,45082.15929999997,49005.27860000001,59758.25199999998,53951.43,0,1,60297.7634,61528.32000000,72.62410432440339,1,0
285,1634515200000,61528.32000000,62695.78000000,59844.45000000,62009.84000000,51798.44844000,1634601599999,3195091233.42055270,1629184,25859.08539000,1595447836.13904200,0,2021-10-18,45098.60629999997,49270.11880000001,60686.81999999997,54659.0,0,1,60769.6432,62005.60000000,73.29842174384817,1,0
286,1634601600000,62005.60000000,64486.00000000,61322.22000000,64280.59000000,53628.10774400,1634687999999,3370863940.26943662,1755708,27436.54548400,1724665979.84350923,0,2021-10-19,45125.25919999997,49616.072400000005,62073.34999999996,54659.0,0,1,62994.9782,64280.59000000,76.26729694587428,1,0
287,1634688000000,64280.59000000,67000.00000000,63481.40000000,66001.41000000,51428.93485600,1634774399999,3362878816.40459238,1823286,27623.99052600,1806653764.67083274,0,2021-10-20,45170.00654999998,49994.082800000004,62939.147999999965,55996.93,0,1,64681.3818,66001.40000000,78.2416790012385,1,0
288,1634774400000,66001.40000000,66639.74000000,62000.00000000,62193.15000000,68538.64537000,1634860799999,4407757970.87975560,2181665,32008.51421000,2060110973.80589420,0,2021-10-21,45189.962249999975,50261.7354,63202.66399999997,55996.93,0,0,60949.287000000004,62193.15000000,65.29546358583698,0,0
289,1634860800000,62193.15000000,63732.39000000,60000.00000000,60688.22000000,52119.35886000,1634947199999,3229377744.31142590,1555280,25440.69118000,1576807744.19589710,0,2021-10-22,45197.75339999998,50490.567,63034.641999999956,57347.94,0,0,59474.4556,60688.23000000,61.000010599925346,0,0
290,1634947200000,60688.23000000,61747.64000000,59562.15000000,61286.75000000,27626.93678000,1635033599999,1686121722.21878240,982103,13352.56908000,815306581.33573040,0,2021-10-23,45214.231399999975,50716.3192,62890.023999999954,57347.94,0,0,60061.015,61286.75000000,62.06876340769932,0,0
291,1635033600000,61286.75000000,61500.00000000,59510.63000000,60852.22000000,31226.57676000,1635119999999,1889694558.95049470,1052085,15682.16860000,949151331.86233880,0,2021-10-24,45238.72524999999,50935.0508,62204.349999999955,60688.22,0,0,59635.1756,60852.22000000,60.76680324669188,0,0
292,1635120000000,60852.22000000,63710.63000000,60650.00000000,63078.78000000,36853.83806000,1635206399999,2309339650.10938040,1270453,18577.25472000,1164150305.93481840,0,2021-10-25,45263.73154999998,51161.4888,61619.82399999995,60688.22,0,1,61817.204399999995,63078.78000000,64.83695329783264,0,0
293,1635206400000,63078.78000000,63293.48000000,59817.55000000,60328.81000000,40217.50083000,1635292799999,2492606133.31894550,1334460,18699.28475000,1160289812.69599610,0,2021-10-26,45274.66289999999,51314.787000000004,61246.95599999995,60328.81,1,0,59122.233799999995,60328.81000000,56.975177608620086,0,0
294,1635292800000,60328.81000000,61496.00000000,58000.00000000,58413.44000000,62124.49016000,1635379199999,3688306192.97241780,1913083,29983.43122000,1780494793.56031750,0,2021-10-27,45267.88444999998,51545.7812,60791.999999999956,58413.44,0,0,57245.171200000004,58413.44000000,52.22524003087995,0,0
295,1635379200000,58413.44000000,62499.00000000,57820.00000000,60575.89000000,61056.35301000,1635465599999,3677629851.05960650,1878275,30447.44205000,1835335717.81491350,0,2021-10-28,45270.75174999999,51836.332800000004,60649.82799999996,58413.44,0,0,59364.3722,60575.90000000,56.622156812999144,0,0
296,1635465600000,60575.90000000,62980.00000000,60174.81000000,62253.71000000,43973.90414000,1635551999999,2706090987.30962570,1417344,22262.86881000,1370325591.00014470,0,2021-10-29,45282.72029999999,52153.504199999996,60930.12599999995,58413.44,0,1,61008.6358,62253.70000000,59.71975983581551,0,0
297,1635552000000,62253.70000000,62359.25000000,60673.00000000,61859.19000000,31478.12566000,1635638399999,1937860260.43806250,1197748,15583.51105000,959369103.61333270,0,2021-10-30,45274.14124999999,52493.669799999996,60686.20799999996,58413.44,0,1,60622.0062,61859.19000000,58.659039024523096,0,0
298,1635638400000,61859.19000000,62405.30000000,59945.36000000,61299.80000000,39267.63794000,1635724799999,2396556477.34349380,1563417,19362.08206000,1181449065.61918040,0,2021-10-31,45265.842599999996,52816.191999999995,60880.40599999996,58413.44,0,1,60073.804000000004,61299.81000000,57.110127801447355,0,0
